AÃ±o,Identificador de la Orden,Rama de la Entidad,Sector de la Entidad,Entidad,Solicitante,Fecha,Proveedor,Estado,Solicitud,Items,Total,Agregacion,Ciudad,Entidad Obigada,EsPostconflicto,NIT Proveedor,Actividad Economica Proveedor,ID Entidad
2017,23654,Ejecutiva,,INSTITUTO DEPARTAMENTAL DE ACCION COMUNAL Y PARTICIPACION CIUDADANA DE CUNDINAMARCA  IDACO,Cesar Augusto RincÃ³n GarcÃ­a,12/14/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,40329,Ver Conjunto detalle,4939514.00,Grandes Superficies,bogota D.C.,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,274
2017,23655,Organismos autÃ³nomo o independientes,Ambiente y Desarrollo Sostenible,TOLIMA  CORPORACION AUTONOMA REGIONAL DEL TOLIMA,Martha Rosalba Ricaurte Guarnizo,12/14/2017 12:00:00 AM,OrganizaciÃ³n Terpel SA,Cerrada,40629,Ver Conjunto detalle,59760956.00,Combustible Nacional,IBAGUE,No obligada,No Definido,830095213,4661,326
2017,23656,Ejecutiva,Defensa Nacional,BOLIVAR  HOSPITAL NAVAL DE CARTAGENA,Carlos Uriel Garcia Avila,12/14/2017 12:00:00 AM,MAKRO SUPERMAYORISTA SAS,Emitida,40168,Ver Conjunto detalle,5326185.00,Grandes Superficies,CARTAGENA DT Y C,Obligada,No Definido,900059238,Comercio al por mayo,465
2017,23657,Ejecutiva,Justicia y del Derecho,MINISTERIO DE JUSTICIA Y DEL DERECHO,Norma Ruiz Huertas,12/14/2017 12:00:00 AM,Dispapeles SAS,Emitida,41195,Ver Conjunto detalle,91659841.00,PapelerÃ­a y Ãºtiles de oficina II,Bogota,Obligada,No Definido,860028580,4669 - 4690,161
2017,23658,Ejecutiva,FunciÃ³n PÃºblica,GOBERNACION DE ANTIOQUIA,Mauricio Antonio Mazo Bedoya,12/14/2017 12:00:00 AM,Union Temporal Los Coches Iberplast2014,Emitida,41196,Ver Conjunto detalle,111063873.00,VehÃ­culos II,MedellÃ­n,No obligada,No Definido,900765757,2511,291
2017,23659,Organismos autÃ³nomo o independientes,Ambiente y Desarrollo Sostenible,CORPORACIÃ“N AUTÃ“NOMA REGIONAL DEL QUINDÃO,John James Fernandez Lopez,12/14/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,19403,Ver Conjunto detalle,360000.00,Grandes Superficies,Armenia,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,981
2015,2366,Ejecutiva,Hacienda y CrÃ©dito PÃºblico,UNIDAD DE INFORMACION Y ANALISIS FINANCIERO,Victor Alberto Antolinez Ayala,04/29/2015 12:00:00 AM,DotaciÃ³n Integral SAS,Emitida,6278,Ver Conjunto detalle,815999.00,Dotaciones de Vestuario,BogotÃ¡,Obligada,No Definido,,,59
2017,23660,Organismos autÃ³nomo o independientes,Ambiente y Desarrollo Sostenible,CORPORACIÃ“N AUTÃ“NOMA REGIONAL DEL QUINDÃO,John James Fernandez Lopez,12/14/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Emitida,19403,Ver Conjunto detalle,19638164.00,Grandes Superficies,Armenia,No obligada,No Definido,830037946,4761,981
2017,23661,Ejecutiva,Justicia y del Derecho,RECLUSION DE MUJERES DE BOGOTA,Ana Mile Guzman Martinez,12/14/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Emitida,41179,Ver Conjunto detalle,1220107.00,Grandes Superficies,BOGOTA,Obligada,No Definido,830037946,4761,560
2017,23662,Ejecutiva,Minas y EnergÃ­a,SERVICIO GEOLOGICO COLOMBIANO,Diana Catalina SuÃ¡rez Giraldo,12/14/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Cerrada,40087,Ver Conjunto detalle,10187828.00,Grandes Superficies,Bogota,Obligada,No Definido,830037946,4761,65
2017,23663,Judicial,Justicia y del Derecho,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE SANTA MARTA,Juan Carlos Perez Ballesteros,12/14/2017 12:00:00 AM,Sistemas y Distribuciones FormaconLtda,Emitida,40647,Ver Conjunto detalle,65191406.00,Consumibles de ImpresiÃ³n,Santa Marta,Obligada,No Definido,,,1272
2017,23664,Organismos autÃ³nomo o independientes,No Aplica,NARIÃ‘O  MUNICIPIO DE PUPIALES,Maria Nelly Nastar Bravo,12/14/2017 12:00:00 AM,DISTRIBUIDORA NISSAN SA,Emitida,40882,Ver Conjunto detalle,106740500.00,VehÃ­culos II,PUPIALES,No obligada,No Definido,860001307,2511,1397
2017,23665,Ejecutiva,Justicia y del Derecho,MINISTERIO DE JUSTICIA Y DEL DERECHO,Norma Ruiz Huertas,12/14/2017 12:00:00 AM,KeyMarket SAS,Emitida,41208,Ver Conjunto detalle,126234977.00,Consumibles de ImpresiÃ³n,Bogota,Obligada,No Definido,830073623,4651,161
2017,23666,Ejecutiva,Presidencia de la RepÃºblica,UNIDAD NACIONAL PARA LA GESTION DEL RIESGO DE DESASTRES,Pedro Felipe Lopez Ortiz,12/14/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,26174,Ver Conjunto detalle,5458200.00,Grandes Superficies,BOGOTA,Obligada,No Definido,890900943,COMERCIO AL POR MAYO,68
2017,23667,Ejecutiva,Presidencia de la RepÃºblica,UNIDAD NACIONAL PARA LA GESTION DEL RIESGO DE DESASTRES,Pedro Felipe Lopez Ortiz,12/14/2017 12:00:00 AM,CENCOSUD COLOMBIA SA,Emitida,26174,Ver Conjunto detalle,13774300.00,Grandes Superficies,BOGOTA,Obligada,No Definido,900155107,4711,68
2017,23668,Ejecutiva,InclusiÃ³n social y reconciliaciÃ³n,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,Gloria Esperanza MerchÃ¡n AcuÃ±a,12/14/2017 12:00:00 AM,EASYCLEAN GE SAS,Cerrada,41161,Ver Conjunto detalle,889221562.00,Aseo y CafeterÃ­a II,BOGOTÃ,Obligada,No Definido,860522931,8121,37
2017,23669,Ejecutiva,EducaciÃ³n Nacional,INSTITUTO NACIONAL PARA SORDOS INSOR,Andres Santiago Florez Ortegon,12/14/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Cancelada,41076,Ver Conjunto detalle,159000.00,Grandes Superficies,BOGOTA,Obligada,No Definido,890900943,COMERCIO AL POR MAYO,104
2017,23671,Ejecutiva,EducaciÃ³n Nacional,INSTITUTO NACIONAL PARA SORDOS INSOR,Andres Santiago Florez Ortegon,12/14/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Cerrada,41076,Ver Conjunto detalle,643314.00,Grandes Superficies,BOGOTA,Obligada,No Definido,830037946,4761,104
2017,23672,Organismos autÃ³nomo o independientes,Ambiente y Desarrollo Sostenible,TOLIMA  CORPORACION AUTONOMA REGIONAL DEL TOLIMA,Martha Rosalba Ricaurte Guarnizo,12/14/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,41005,Ver Conjunto detalle,2850820.00,Grandes Superficies,IBAGUE,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,326
2017,23673,Ejecutiva,Justicia y del Derecho,MINISTERIO DE JUSTICIA Y DEL DERECHO,Norma Ruiz Huertas,12/14/2017 12:00:00 AM,Crear de Colombia SAS,Cerrada,41217,Ver Conjunto detalle,9241982.00,Consumibles de ImpresiÃ³n,Bogota,Obligada,No Definido,900564459,4651,161
2017,23674,Ejecutiva,Defensa Nacional,SECCIONAL SANIDAD HUILA,Juan Carlos Sepulveda Garcia,12/14/2017 12:00:00 AM,Sparta Shoes SAS,Emitida,41162,Ver Conjunto detalle,236642.00,Dotaciones de Vestuario II,NEIVA,Obligada,No Definido,900315346,1521,556
2017,23675,Ejecutiva,Defensa Nacional,SECCIONAL SANIDAD HUILA,Juan Carlos Sepulveda Garcia,12/14/2017 12:00:00 AM,Sparta Shoes SAS,Emitida,41163,Ver Conjunto detalle,232822.00,Dotaciones de Vestuario II,NEIVA,Obligada,No Definido,900315346,1521,556
2017,23676,Ejecutiva,Defensa Nacional,SECCIONAL SANIDAD HUILA,Juan Carlos Sepulveda Garcia,12/14/2017 12:00:00 AM,Inversiones Sara de Colombia SAS,Emitida,41165,Ver Conjunto detalle,332331.00,Dotaciones de Vestuario II,NEIVA,Obligada,No Definido,,,556
2017,23677,Ejecutiva,Defensa Nacional,SECCIONAL SANIDAD HUILA,Juan Carlos Sepulveda Garcia,12/14/2017 12:00:00 AM,Inversiones Sara de Colombia SAS,Emitida,41166,Ver Conjunto detalle,309111.00,Dotaciones de Vestuario II,NEIVA,Obligada,No Definido,,,556
2017,23678,Ejecutiva,FunciÃ³n PÃºblica,CAUCA  GOBERNACION DEL CAUCA,Digite Usuario,12/14/2017 12:00:00 AM,Oracle Colombia Ltda,Emitida,41207,Ver Conjunto detalle,70303851.00,Servicios Oracle,POPAYAN,No obligada,No Definido,800103052,6202,223
2017,23679,Ejecutiva,,TOLIMA  GOBERNACION DEL TOLIMA,Jairo Alberto Cardona Bonilla,12/14/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,39976,Ver Conjunto detalle,52107664.00,Grandes Superficies,IBAGUE,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,256
2015,2368,Ejecutiva,Agricultura y Desarrollo Rural,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,Edilma Rojas Rojas,04/29/2015 12:00:00 AM,Outsourcing SA,Emitida,6280,Ver Conjunto detalle,1743177884.00,Centro de contacto,BogotÃ¡ D.C.,Obligada,No Definido,,,216
2017,23680,Ejecutiva,Justicia y del Derecho,MINISTERIO DE JUSTICIA Y DEL DERECHO,Norma Ruiz Huertas,12/14/2017 12:00:00 AM,Ofixpres SAS,Cerrada,41226,Ver Conjunto detalle,7374763.00,Consumibles de ImpresiÃ³n,Bogota,Obligada,No Definido,900156826,4690 - COMERCIO AL P,161
2017,23681,Ejecutiva,InclusiÃ³n social y reconciliaciÃ³n,SECRETARIA DISTRITAL DE INTEGRACION SOCIAL,Gina Alexandra Vaca Linares,12/14/2017 12:00:00 AM,MAKRO SUPERMAYORISTA SAS,Emitida,29989,Ver Conjunto detalle,44914059.00,Grandes Superficies,BOGOTA,No obligada,No Definido,900059238,Comercio al por mayo,686
2017,23682,Ejecutiva,Defensa Nacional,ARCBOLIVAR,Luding Martin Moog Herrera,12/14/2017 12:00:00 AM,UNION TEMPORAL ASEO COLOMBIA,Emitida,41228,Ver Conjunto detalle,113607700.00,Aseo y CafeterÃ­a II,CARTAGENA,Obligada,No Definido,901031838,8129,367
2017,23683,Ejecutiva,Defensa Nacional,COMANDO ARMADA NACIONAL,Jacqueline Gomez Tapiero,12/14/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Cerrada,40880,Ver Conjunto detalle,39986200.00,Grandes Superficies,BOGOTÃ,Obligada,No Definido,890900943,COMERCIO AL POR MAYO,109
2017,23684,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE MEDIANA SEGURIDAD DE MANIZALES,Marco Antonio Montoya Molano,12/15/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Cancelada,41175,Ver Conjunto detalle,1217846.00,Grandes Superficies,Manizales,Obligada,No Definido,830037946,4761,850
2017,23685,Ejecutiva,Salud y ProtecciÃ³n Social,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS,Raquel Yadira Cortes Ariza,12/15/2017 12:00:00 AM,UT Soluciones Microsoft 2017,Emitida,41107,Ver Conjunto detalle,94033198.00,Microsoft II,Bogota,Obligada,No Definido,901121588,4741,22
2017,23686,Ejecutiva,Salud y ProtecciÃ³n Social,HOSPITAL DEPARTAMENTAL UNIVERSITARIO SANTA SOFIA DE CALDAS,Juan Carlos Gomez Giraldo,12/15/2017 12:00:00 AM,Ito Softare SAS,Emitida,40570,Ver Conjunto detalle,56327291.00,Google II,MANIZALES,No obligada,No Definido,900372035,6209,734
2017,23687,Ejecutiva,,TOLIMA  GOBERNACION DEL TOLIMA,Jairo Alberto Cardona Bonilla,12/15/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,41227,Ver Conjunto detalle,47379700.00,Grandes Superficies,Ibague,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,256
2017,23688,Ejecutiva,Defensa Nacional,DIRECCION DE ANTINARCOTICOS POLICIA NACIONAL,Jose Angel Mendoza Guzman,12/15/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,41168,Ver Conjunto detalle,72992400.00,Grandes Superficies,BOGOTÃ,Obligada,No Definido,890900943,COMERCIO AL POR MAYO,90
2017,23689,Ejecutiva,Defensa Nacional,GRUPO INTENDENCIA REGIONAL DIMAR NO 4,Jennyfer MuÃ±oz Marquez,12/15/2017 12:00:00 AM,Oracle Colombia Ltda,Emitida,41063,Ver Conjunto detalle,13667452.00,Servicios Oracle,CARTAGENA,Obligada,No Definido,800103052,6202,512
2015,2369,Ejecutiva,Agricultura y Desarrollo Rural,INSTITUTO COLOMBIANO DE DESARROLLO RURAL EN LIQUIDACION,Sandra Maritza Gomez CaÃ±on,04/29/2015 12:00:00 AM,Comercial MCL SAS,Cerrada,5878,Ver Conjunto detalle,12331420.00,PapelerÃ­a y Ãºtiles de oficina,bogota,Obligada,No Definido,800200968,4669,9
2017,23690,Ejecutiva,Defensa Nacional,DEPARTAMENTO DE POLICIA CUNDINAMARCA,Edin Chavarro Rojas,12/15/2017 12:00:00 AM,Ofibest SAS,Cerrada,41242,Ver Conjunto detalle,95796021.00,PapelerÃ­a y Ãºtiles de oficina II,bogota,Obligada,No Definido,9003501337,4761,226
2017,23691,Ejecutiva,Cultura,MINISTERIO DE CULTURA,MÃ³nica Andrea Pulido VillamarÃ­n,12/15/2017 12:00:00 AM,Servientrega SA,Emitida,40923,Ver Conjunto detalle,13251265.00,Servicio de DistribuciÃ³n,BogotÃ¡,Obligada,No Definido,8605123303,4923,125
2017,23692,Ejecutiva,,SECRETARIA DISTRITAL DE GOBIERNO,Christian Leonardo Nadjar Cruz,12/15/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,40105,Ver Conjunto detalle,11412000.00,Grandes Superficies,Bogota,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,518
2017,23693,Ejecutiva,,SECRETARIA DISTRITAL DE GOBIERNO,Martha Liliana Soto Iguaran,12/15/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Cerrada,39364,Ver Conjunto detalle,12800000.00,Grandes Superficies,Bogota,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,518
2017,23694,Ejecutiva,,SECRETARIA DISTRITAL DE GOBIERNO,Martha Liliana Soto Iguaran,12/15/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Emitida,39364,Ver Conjunto detalle,18558050.00,Grandes Superficies,Bogota,No obligada,No Definido,830037946,4761,518
2017,23695,Ejecutiva,Defensa Nacional,AMAZONAS  DEPARTAMENTO DE POLICIA,Jeisson Leandro Arango Lozano,12/15/2017 12:00:00 AM,I3NET SAS,Emitida,41254,Ver Conjunto detalle,1451733.00,AdquisiciÃ³n de Computadores y PerifÃ©ricos,LETICIA,Obligada,No Definido,830024826,4651,835
2017,23696,Ejecutiva,Defensa Nacional,GUAVIARE  DEPARTAMENTO DE POLICIA,Carlos Bernardo Galindo AvendaÃ±o,12/15/2017 12:00:00 AM,Uniples SA,Cerrada,41068,Ver Conjunto detalle,1080591.00,Consumibles de ImpresiÃ³n,SAN JOSE DEL GUAVIARE,Obligada,No Definido,8110213630,4690,440
2017,23697,Ejecutiva,Defensa Nacional,GUAVIARE  DEPARTAMENTO DE POLICIA,Carlos Bernardo Galindo AvendaÃ±o,12/15/2017 12:00:00 AM,Uniples SA,Cerrada,41071,Ver Conjunto detalle,3785320.00,Consumibles de ImpresiÃ³n,SAN JOSE DEL GUAVIARE,Obligada,No Definido,8110213630,4690,440
2017,23698,Ejecutiva,Defensa Nacional,GUAVIARE  DEPARTAMENTO DE POLICIA,Carlos Bernardo Galindo AvendaÃ±o,12/15/2017 12:00:00 AM,Uniples SA,Cerrada,41079,Ver Conjunto detalle,9395067.00,Consumibles de ImpresiÃ³n,SAN JOSE DEL GUAVIARE,Obligada,No Definido,8110213630,4690,440
2017,23699,Ejecutiva,Salud y ProtecciÃ³n Social,FONDO DE PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA,Luis Alberto Segura Becerra,12/15/2017 12:00:00 AM,OrganizaciÃ³n Terpel SA,Cerrada,25329,Ver Conjunto detalle,28595750.00,Combustible BogotÃ¡ II,BogotÃ¡ D.C.,Obligada,No Definido,830095213,4661,38
2014,237,Organismos autÃ³nomo o independientes,,VEEDURIA DISTRITAL,Marcela RocÃ­o MÃ¡rquez Arenas,05/29/2014 12:00:00 AM,UniÃ³n Temporal AutogasGandur,Emitida,989,Ver Conjunto detalle,17000000.00,Combustible BogotÃ¡,BogotÃ¡ D.C.,No obligada,No Definido,900459737,4731,69
2015,2370,Ejecutiva,Defensa Nacional,DEVIC,alther Alexander Aguirre Ramires,04/29/2015 12:00:00 AM,Quest SAS,Emitida,6245,Ver Conjunto detalle,1057920.00,Dotaciones de Vestuario,Puerto CarreÃ±o,Obligada,No Definido,,,353
2017,23700,Ejecutiva,Salud y ProtecciÃ³n Social,FONDO DE PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA,Luis Alberto Segura Becerra,12/15/2017 12:00:00 AM,Servicio AÃ©reo a Territorios Nacionales SA,Emitida,40799,Ver Conjunto detalle,66000000.00,Tiquetes AÃ©reos,BogotÃ¡ D.C.,Obligada,No Definido,8999991434,5111,38
2017,23701,Ejecutiva,EducaciÃ³n Nacional,ALCALDIA DE CARTAGENA DE INDIAS,Fernando David NiÃ±o Mendoza,12/15/2017 12:00:00 AM,SUZUKI Motor de Colombia SA,Cerrada,41270,Ver Conjunto detalle,804146161.00,Motocicletas Cuatrimotos y Motocarros,CARTAGENA,No obligada,No Definido,891410137,3091,895
2017,23702,Ejecutiva,Trabajo,SANTANDER  DIRECCION DE TRANSITO DE BUCARAMANGA,Jorge Enrique Parra Agudelo,12/15/2017 12:00:00 AM,La Previsora SA,Emitida,41268,Ver Conjunto detalle,44351371.00,SOAT II,BUCARAMANGA,No obligada,No Definido,860002400,6511,1010
2017,23704,Ejecutiva,,SECRETARÃA DISTRITAL DE SEGURIDAD CONVIVENCIA Y JUSTICIA,Gian Carlo Suescun Sanabria,12/15/2017 12:00:00 AM,ESRI COLOMBIA SAS,Emitida,41267,Ver Conjunto detalle,18377146.00,ArcGIS,BogotÃ¡. D.C.,No obligada,No Definido,830122983,6202,1032
2017,23705,Ejecutiva,No Aplica,CUNDINAMARCA  MUNICIPIO DE TABIO,Liliana Carolina Garnica Lozano,12/15/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Emitida,23915,Ver Conjunto detalle,3512194.00,Grandes Superficies,TABIO,No obligada,No Definido,890900943,COMERCIO AL POR MAYO,1066
2017,23706,Ejecutiva,No Aplica,CUNDINAMARCA  MUNICIPIO DE TABIO,Liliana Carolina Garnica Lozano,12/15/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Emitida,23915,Ver Conjunto detalle,3153619.00,Grandes Superficies,TABIO,No obligada,No Definido,830037946,4761,1066
2017,23707,Ejecutiva,Hacienda y CrÃ©dito PÃºblico,UAE  CONTADURIA GENERAL DE LA NACION,Lina Maria Arias Loaiza,12/15/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Emitida,39747,Ver Conjunto detalle,17569041.00,Grandes Superficies,BogotÃ¡ D.C.,Obligada,No Definido,830037946,4761,19
2017,23708,Ejecutiva,,SECRETARÃA DISTRITAL DE SEGURIDAD CONVIVENCIA Y JUSTICIA,Gian Carlo Suescun Sanabria,12/15/2017 12:00:00 AM,ESRI COLOMBIA SAS,Emitida,40858,Ver Conjunto detalle,101078752.00,ArcGIS,BogotÃ¡. D.C.,No obligada,No Definido,830122983,6202,1032
2017,23709,Ejecutiva,Hacienda y CrÃ©dito PÃºblico,SUPERINTENDENCIA DE ECONOMIA SOLIDARIA,Oscar Alexander Flechas Orozco,12/15/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Emitida,36365,Ver Conjunto detalle,15380750.00,Grandes Superficies,BOGOTA,Obligada,No Definido,830037946,4761,15
2015,2371,Ejecutiva,Defensa Nacional,DEVIC,alther Alexander Aguirre Ramires,04/29/2015 12:00:00 AM,Quest SAS,Emitida,6248,Ver Conjunto detalle,1099680.00,Dotaciones de Vestuario,Puerto CarreÃ±o,Obligada,No Definido,,,353
2017,23710,Ejecutiva,Transporte,INSTITUTO NACIONAL DE VIAS,Deisy Astrid Cabrera Ahumada,12/15/2017 12:00:00 AM,LADOINSA LABORES DOTACIONES INDUSTRIALES SAS,Cerrada,41288,Ver Conjunto detalle,632525845.00,Aseo y CafeterÃ­a II,BogotÃ¡ D.C.,Obligada,No Definido,800242738,8221,190
2017,23711,Ejecutiva,Trabajo,SERVICIO NACIONAL DE APRENDIZAJE  SEDE CALLE 57,Carlos Cesar Jimenez Aponte,12/15/2017 12:00:00 AM,Oracle Colombia Ltda,Cerrada,41292,Ver Conjunto detalle,10394634858.00,Servicios Oracle,Bogota,Obligada,No Definido,800103052,6202,57
2017,23712,Ejecutiva,Justicia y del Derecho,MINISTERIO DE JUSTICIA Y DEL DERECHO,Norma Ruiz Huertas,12/15/2017 12:00:00 AM,Dispapeles SAS,Cerrada,41296,Ver Conjunto detalle,860767.00,Consumibles de ImpresiÃ³n,Bogota,Obligada,No Definido,860028580,4669,161
2017,23713,Ejecutiva,Justicia y del Derecho,MINISTERIO DE JUSTICIA Y DEL DERECHO,Norma Ruiz Huertas,12/15/2017 12:00:00 AM,Uniples SA,Emitida,41297,Ver Conjunto detalle,628320.00,Consumibles de ImpresiÃ³n,Bogota,Obligada,No Definido,8110213630,4690,161
2017,23714,Ejecutiva,InclusiÃ³n social y reconciliaciÃ³n,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,Gloria Esperanza MerchÃ¡n AcuÃ±a,12/15/2017 12:00:00 AM,MR CLEAN SA,Cerrada,41231,Ver Conjunto detalle,59040542.00,Aseo y CafeterÃ­a II,BOGOTÃ,Obligada,No Definido,800062177,8121,37
2017,23715,Ejecutiva,Defensa Nacional,COMANDO ARMADA NACIONAL,Jaime Rafael Duran Pabon,12/15/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Cerrada,41091,Ver Conjunto detalle,66969388.00,Grandes Superficies,BOGOTA,Obligada,No Definido,890900943,COMERCIO AL POR MAYO,109
2017,23716,Ejecutiva,FunciÃ³n PÃºblica,CUNDINAMARCA  ALCALDÃA MUNICIPIO DE ZIPACÃ“N,Nestor Rodrigo Riveros Aguirre,12/15/2017 12:00:00 AM,SUZUKI Motor de Colombia SA,Emitida,41077,Ver Conjunto detalle,20682274.00,Motocicletas Cuatrimotos y Motocarros,Zipacon,No obligada,No Definido,891410137,3091,1413
2017,23718,Ejecutiva,,MUNICIPIO DE MEDELLIN,Jorge Ivan Zapata Correa,12/15/2017 12:00:00 AM,Jorge CortÃ©s Mora y Cia SAS,Cerrada,41295,Ver Conjunto detalle,115670321.00,VehÃ­culos II,MedellÃ­n,No obligada,No Definido,860078024,4511,189
2017,23719,Ejecutiva,,MUNICIPIO DE MEDELLIN,Jorge Ivan Zapata Correa,12/15/2017 12:00:00 AM,DISTRIBUIDORA NISSAN SA,Cerrada,41290,Ver Conjunto detalle,113973240.00,VehÃ­culos II,MedellÃ­n,No obligada,No Definido,860001307,2511,189
2015,2372,Ejecutiva,Justicia y del Derecho,MINISTERIO DE JUSTICIA Y DEL DERECHO,Miguel Antonio Campos Florez,04/30/2015 12:00:00 AM,Seguros Generales Suramericana SA,Emitida,6299,Ver Conjunto detalle,516244.00,SOAT,BogotÃ¡,Obligada,No Definido,890903407,6511,161
2017,23720,Ejecutiva,,MUNICIPIO DE MEDELLIN,Jorge Ivan Zapata Correa,12/15/2017 12:00:00 AM,DISTRIBUIDORA NISSAN SA,Cerrada,41291,Ver Conjunto detalle,413872160.00,VehÃ­culos II,MedellÃ­n,No obligada,No Definido,860001307,2511,189
2017,23721,Judicial,Justicia y del Derecho,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL SANTANDER,Nohora Elena Rueda Diaz,12/15/2017 12:00:00 AM,Uniples SA,Cerrada,41302,Ver Conjunto detalle,133316890.00,Consumibles de ImpresiÃ³n,Bucaramanga,Obligada,No Definido,8110213630,4690,1248
2017,23722,Judicial,Justicia y del Derecho,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL SANTANDER,Nohora Elena Rueda Diaz,12/15/2017 12:00:00 AM,Uniples SA,Cerrada,41307,Ver Conjunto detalle,188361530.00,Consumibles de ImpresiÃ³n,Bucaramanga,Obligada,No Definido,8110213630,4690,1248
2017,23723,Judicial,Justicia y del Derecho,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL SANTANDER,Nohora Elena Rueda Diaz,12/15/2017 12:00:00 AM,Uniples SA,Cerrada,41311,Ver Conjunto detalle,18078480.00,Consumibles de ImpresiÃ³n,Bucaramanga,Obligada,No Definido,8110213630,4690,1248
2017,23724,Ejecutiva,,MUNICIPIO DE MEDELLIN,Jorge Ivan Zapata Correa,12/15/2017 12:00:00 AM,Jorge CortÃ©s Mora y Cia SAS,Cerrada,41315,Ver Conjunto detalle,72033221.00,VehÃ­culos II,MedellÃ­n,No obligada,No Definido,860078024,4511,189
2017,23725,Ejecutiva,FunciÃ³n PÃºblica,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA,Yuliana Andrea Cruz Ospitia,12/15/2017 12:00:00 AM,Productos de Seguridad SA Prodeseg,Cerrada,41309,Ver Conjunto detalle,40038544.00,Elementos para Emergencias,Bogota,Obligada,No Definido,860051688,Otras industrias man,7
2017,23726,Ejecutiva,Defensa Nacional,METIB,Jorge Andres IbaÃ±ez Robayo,12/15/2017 12:00:00 AM,Panamericana Outsourcing SA,Cerrada,41316,Ver Conjunto detalle,102159205.00,PapelerÃ­a y Ãºtiles de oficina II,Ibague,Obligada,No Definido,8300776556,4669,361
2017,23727,Ejecutiva,Trabajo,MINISTERIO DEL TRABAJO,Jose Maria Ortiz Varon,12/15/2017 12:00:00 AM,Inversiones Sara de Colombia SAS,Cerrada,41319,Ver Conjunto detalle,664662.00,Dotaciones de Vestuario II,VILLAVICENCIO,Obligada,No Definido,,,1
2017,23728,Ejecutiva,Trabajo,MINISTERIO DEL TRABAJO,Jose Maria Ortiz Varon,12/15/2017 12:00:00 AM,Inversiones Sara de Colombia SAS,Cerrada,41304,Ver Conjunto detalle,366710.00,Dotaciones de Vestuario II,VILLAVICENCIO - META,Obligada,No Definido,,,1
